City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Batticaloa,LK,7.7102,81.6924,89.51,58,95,10.58,overcast clouds
212,Chokurdakh,RU,70.6333,147.9167,44.67,86,100,9.1,overcast clouds
213,Portland,US,45.5234,-122.6762,65.61,81,23,1.01,few clouds
214,Morehead,US,37.2711,-87.1764,74.98,99,0,0.0,clear sky
215,Khandyga,RU,62.6667,135.6,59.09,79,100,12.73,overcast clouds
216,Shimoda,JP,34.6667,138.95,82.76,81,90,8.48,overcast clouds
217,Vostok,RU,46.4856,135.8833,84.69,43,10,7.56,clear sky
218,Hasaki,JP,35.7333,140.8333,81.28,82,15,24.47,few clouds
219,Kelo,TD,9.3086,15.8066,78.82,69,100,5.97,overcast clouds
220,Along,IN,28.1667,94.7667,87.42,78,18,3.15,few clouds
221,Xifeng,CN,42.7372,124.7222,82.58,74,0,10.8,clear sky
222,Longyearbyen,SJ,78.2186,15.6401,51.64,50,40,16.11,scattered clouds
223,Kichera,RU,55.9375,110.0997,69.13,53,25,6.67,scattered clouds
224,Camacha,PT,33.0833,-16.3333,63.82,77,40,12.66,scattered clouds
225,Richards Bay,ZA,-28.783,32.0377,67.33,74,0,6.11,clear sky
226,Skagen,DK,57.7209,10.5839,61.21,75,3,20.76,clear sky
227,Chuy,UY,-33.6971,-53.4616,42.03,60,0,4.81,clear sky
228,Souillac,MU,-20.5167,57.5167,73.78,56,40,12.66,scattered clouds
229,Dutse,NG,11.7594,9.3392,79.83,56,100,8.25,overcast clouds
230,Severo-Yeniseyskiy,RU,60.3725,93.0408,69.28,38,86,5.97,overcast clouds
231,Acapulco,MX,16.8634,-99.8901,79.07,85,100,4.97,overcast clouds
232,Tuatapere,NZ,-46.1333,167.6833,44.35,95,100,4.12,overcast clouds
233,Talaya,RU,61.3833,152.75,80.55,51,100,24.18,overcast clouds
234,Puri,IN,19.8,85.85,88.32,69,100,8.99,heavy intensity rain
235,Hamilton,US,39.1834,-84.5333,76.23,88,100,2.51,overcast clouds
236,Mahebourg,MU,-20.4081,57.7,75.25,56,40,12.66,scattered clouds
237,Pontiac,US,42.6389,-83.2911,71.42,84,52,4.74,broken clouds
238,Meulaboh,ID,4.1363,96.1285,86.16,64,99,6.87,overcast clouds
239,Roma,US,43.2128,-75.4557,64.67,90,10,0.43,clear sky
240,Sur,OM,22.5667,59.5289,87.76,70,100,5.97,light rain
241,Marsh Harbour,BS,26.5412,-77.0636,81.86,76,20,14.38,few clouds
242,Vila Do Maio,CV,15.1333,-23.2167,75.99,84,97,10.33,overcast clouds
243,Iquitos,PE,-3.7481,-73.2472,73.44,100,75,1.14,broken clouds
